"family","sp"
"Orchidaceae","Acianthera_sonderiana"
"Bromeliaceae","Aechmea_distichantha"
"Bromeliaceae","Aechmea_lamarchei"
"Bromeliaceae","Aechmea_nudicaulis"
"Bromeliaceae","Billbergia_amoena"
"Bromeliaceae","Billbergia_distachia"
"Bromeliaceae","Billbergia_euphemiae"
"Bromeliaceae","Billbergia_zebrina"
"Orchidaceae","Cattleya_coccinea"
"Orchidaceae","Christensonella_subulata"
"Gesneriaceae","Codonanthe_devosiana"
"Gesneriaceae","Codonanthe_gracilis"
"Orchidaceae","Dichaea_cogniauxiana"
"Bromeliaceae","Edmundoa_lindenii"
"Orchidaceae","Encyclia_patens"
"Orchidaceae","Gomesa_ranifera"
"Cactaceae","Hatiora_salicornioides"
"Gesneriaceae","Nematanthus_crassifolius"
"Bromeliaceae","Nidularium_innocentii"
"Bromeliaceae","Nidularium_procerum"
"Piperaceae","Peperomia_tetraphylla"
"Melastomataceae","Pleiochiton_blepharodes"
"Cactaceae","Rhipsalis_elliptica"
"Cactaceae","Rhipsalis_lindbergiana"
"Cactaceae","Rhipsalis_pachyptera"
"Cactaceae","Rhipsalis_teres"
"Bromeliaceae","Vriesea_carinata"
"Bromeliaceae","Vriesea_ensiformis"
"Bromeliaceae","Vriesea_flammea"
"Bromeliaceae","Vriesea_friburgensis"
"Bromeliaceae","Vriesea_incurvata"
"Bromeliaceae","Vriesea_rodigasiana"
"Bromeliaceae","Vriesea_vagans"
